"file","families","dest"
"18 Aa剑豪体.ttf","AaJianHaoTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\18 Aa剑豪体.ttf"
"中华金榜体-向佳红字迹.ttf","ZHJBT-XJHZJ","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\中华金榜体-向佳红字迹.ttf"
"字酷堂明行体.TTF","ZKTMXT","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字酷堂明行体.TTF"
"字魂110号-武林江湖体.ttf","zihun110hao-wulinjianghuti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂110号-武林江湖体.ttf"
"字魂49号-逍遥行书.TTF","zihun49hao-xiaoyaoxingshu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂49号-逍遥行书.TTF"
"演示少年行.ttf","slideyoungGEE","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示少年行.ttf"
"胡晓波机甲体 常规.TTF","HuXiaoBo-jijiati","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\胡晓波机甲体 常规.TTF"
"鸿雷行书简体.otf","hongleixingshu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\鸿雷行书简体.otf"
"三极行楷简体-粗--淘宝店：烦烦优创馆.TTF","SJxingkai-C","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\三极行楷简体-粗--淘宝店：烦烦优创馆.TTF"
"演示春风楷--淘宝店：烦烦优创馆.ttf","Slidechunfeng","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示春风楷--淘宝店：烦烦优创馆.ttf"
"思源黑体 Heavy--淘宝店：烦烦优创馆.otf","Source Han Sans SC Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 Heavy--淘宝店：烦烦优创馆.otf"
"Roboto Black--淘宝店：烦烦优创馆.ttf","Roboto Black","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Roboto Black--淘宝店：烦烦优创馆.ttf"
"梦源黑体 CN W18--gzh：xx的百宝箱.ttf","Dream Han Sans CN W18","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W18--gzh：xx的百宝箱.ttf"
"禹卫书法云墨简体--淘宝店：烦烦优创馆.ttf","禹卫书法云墨简体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\禹卫书法云墨简体--淘宝店：烦烦优创馆.ttf"
"Aa后浪行楷--淘宝店：烦烦优创馆.ttf","AaHLXK","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Aa后浪行楷--淘宝店：烦烦优创馆.ttf"
"方正大标宋_GBK--淘宝店：烦烦优创馆.ttf","FZDaBiaoSong-B06","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正大标宋_GBK--淘宝店：烦烦优创馆.ttf"
"字体圈欣意冠黑体--淘宝店：烦烦优创馆.ttf","Fontquan-XinYiGuanHeiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字体圈欣意冠黑体--淘宝店：烦烦优创馆.ttf"
"053-上首逸飞体--gzh：xx的百宝箱.ttf","045-SSYiFeiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\053-上首逸飞体--gzh：xx的百宝箱.ttf"
"演示光芒体--淘宝店：烦烦优创馆.ttf","SlidefontGMT","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示光芒体--淘宝店：烦烦优创馆.ttf"
"思源宋体 Heavy--gzh：xx的百宝箱.ttc","Source Han Serif Heavy | Source Han Serif K Heavy | Source Han Serif SC Heavy | Source Han Serif TC Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源宋体 Heavy--gzh：xx的百宝箱.ttc"
"思源黑体 CN Medium--淘宝店：烦烦优创馆.otf","Source Han Sans CN Medium","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Medium--淘宝店：烦烦优创馆.otf"
"龚帆锋芒体--淘宝店：烦烦优创馆.ttf","gongfanfengmangti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\龚帆锋芒体--淘宝店：烦烦优创馆.ttf"
"字魂110号-武林江湖体--gzh：xx的百宝箱.ttf","zihun110hao-wulinjianghuti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂110号-武林江湖体--gzh：xx的百宝箱.ttf"
"阿里巴巴普惠体 B--淘宝店：烦烦优创馆.otf","Alibaba PuHuiTi B","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里巴巴普惠体 B--淘宝店：烦烦优创馆.otf"
"阿里巴巴普惠体 R--gzh：xx的百宝箱.otf","Alibaba PuHuiTi R","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里巴巴普惠体 R--gzh：xx的百宝箱.otf"
"手书体--淘宝店：烦烦优创馆.ttf","ShouShuti","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\手书体--淘宝店：烦烦优创馆.ttf"
"方正颜宋简体_大--淘宝店：烦烦优创馆.ttf","FZYanSongS-EB-GB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正颜宋简体_大--淘宝店：烦烦优创馆.ttf"
"阿里妈妈东方大楷--淘宝店：烦烦优创馆.ttf","Alimama DongFangDaKai","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里妈妈东方大楷--淘宝店：烦烦优创馆.ttf"
"Arial Black--淘宝店：烦烦优创馆.ttf","Arial Black","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Arial Black--淘宝店：烦烦优创馆.ttf"
"潮字社国风鸿书简-闪(REEJI-CHAO-HONGSHUGB-FLASH)--gzh：xx的百宝箱.TTF","REEJI-Chao-HongshuGB-Flash","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\潮字社国风鸿书简-闪(REEJI-CHAO-HONGSHUGB-FLASH)--gzh：xx的百宝箱.TTF"
"Aa云深不知处v1.2--淘宝店：烦烦优创馆.ttf","AaYunshenbuzhichu (Non-Commerci","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Aa云深不知处v1.2--淘宝店：烦烦优创馆.ttf"
"No.51-ShangShouKuFangTi-2--淘宝店：烦烦优创馆.ttf","051-SSkuFangTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\No.51-ShangShouKuFangTi-2--淘宝店：烦烦优创馆.ttf"
"RuGuoBuZengAiGuoNi-2--淘宝店：烦烦优创馆.ttf","AaRGBCAGN (Non-Commercial Use)","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\RuGuoBuZengAiGuoNi-2--淘宝店：烦烦优创馆.ttf"
"光良酒-干杯体--淘宝店：烦烦优创馆.ttf","光良酒-干杯体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\光良酒-干杯体--淘宝店：烦烦优创馆.ttf"
"和风书道昭和飞龙体-闪--淘宝店：烦烦优创馆.ttf","GEETYPE-FeilongGBT-Flash","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\和风书道昭和飞龙体-闪--淘宝店：烦烦优创馆.ttf"
"字制区喜脉体--淘宝店：烦烦优创馆.ttf","ZiZhiQuXiMaiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字制区喜脉体--淘宝店：烦烦优创馆.ttf"
"字魂71号-御守锦书--淘宝店：烦烦优创馆.TTF","zihun71hao-yushoujinshu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂71号-御守锦书--淘宝店：烦烦优创馆.TTF"
"庞门正道粗书体6.0--淘宝店：烦烦优创馆.ttf","PangMenZhengDao-Cu6.0","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\庞门正道粗书体6.0--淘宝店：烦烦优创馆.ttf"
"汉仪菱心体简--淘宝店：烦烦优创馆.ttf","汉仪菱心体简","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪菱心体简--淘宝店：烦烦优创馆.ttf"
"汉仪行楷简--淘宝店：烦烦优创馆.ttf","汉仪行楷简","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪行楷简--淘宝店：烦烦优创馆.ttf"
"汉仪铸字超然体W--淘宝店：烦烦优创馆.TTF","HYZhuZiChaoRanTiW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪铸字超然体W--淘宝店：烦烦优创馆.TTF"
"爱度综艺简体--淘宝店：烦烦优创馆.ttf","ADZongYi-A001","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\爱度综艺简体--淘宝店：烦烦优创馆.ttf"
"腾讯体 W7--淘宝店：烦烦优创馆.TTF","TencentSans W7","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\腾讯体 W7--淘宝店：烦烦优创馆.TTF"
"SourceHanSerifCN-Bold--淘宝店：烦烦优创馆.otf","Source Han Serif CN","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSerifCN-Bold--淘宝店：烦烦优创馆.otf"
"SourceHanSerifCN-Medium--淘宝店：烦烦优创馆.otf","Source Han Serif CN Medium","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSerifCN-Medium--淘宝店：烦烦优创馆.otf"
"SourceHanSerifCN-Regular--淘宝店：烦烦优创馆.otf","Source Han Serif CN","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSerifCN-Regular--淘宝店：烦烦优创馆.otf"
"Impact--淘宝店：烦烦优创馆.ttf","Impact","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Impact--淘宝店：烦烦优创馆.ttf"
"None--淘宝店：烦烦优创馆.ttf","字体中国-锐博体V1","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\None--淘宝店：烦烦优创馆.ttf"
"方正姚体简体--淘宝店：烦烦优创馆.TTF","FZYaoTi-M06S","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正姚体简体--淘宝店：烦烦优创馆.TTF"
"方正字迹-四海行书简体--淘宝店：烦烦优创馆.TTF","FZZJ-SHXSJW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正字迹-四海行书简体--淘宝店：烦烦优创馆.TTF"
"方正字迹-鸿远剑体 简--淘宝店：烦烦优创馆.TTF","FZZJ-HYJTJW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正字迹-鸿远剑体 简--淘宝店：烦烦优创馆.TTF"
"FZZJ-LongYTJW--gzh：xx的百宝箱.ttf","FZZJ-LongYTJW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\FZZJ-LongYTJW--gzh：xx的百宝箱.ttf"
"STXINGKA--淘宝店：烦烦优创馆.TTF","STXingkai","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\STXINGKA--淘宝店：烦烦优创馆.TTF"
"思源黑体 CN Normal--gzh：xx的百宝箱.otf","Source Han Sans CN Normal","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Normal--gzh：xx的百宝箱.otf"
"字体圈欣意冠黑体2.0--gzh：xx的百宝箱.ttf","Fontquan-XinYiGuanHeiTi 2.0","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字体圈欣意冠黑体2.0--gzh：xx的百宝箱.ttf"
"演示悠然小楷 免商--gzh：xx的百宝箱.ttf","slideyouran","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示悠然小楷 免商--gzh：xx的百宝箱.ttf"
"FZZJ-LJDXKJW--gzh：xx的百宝箱.ttf","FZZJ-LJDXKJW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\FZZJ-LJDXKJW--gzh：xx的百宝箱.ttf"
"OPPOSans B--淘宝店：烦烦优创馆.ttf","OPPOSans B","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\OPPOSans B--淘宝店：烦烦优创馆.ttf"
"OPPOSans M--淘宝店：烦烦优创馆.ttf","OPPOSans M","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\OPPOSans M--淘宝店：烦烦优创馆.ttf"
"Arial--gzh：xx的百宝箱.ttf","Arial","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Arial--gzh：xx的百宝箱.ttf"
"Bahnschrift SemiBold SemiConden--gzh：xx的百宝箱.ttf","Bahnschrift | Bahnschrift Condensed | Bahnschrift Light | Bahnschrift Light Condensed | Bahnschrift Light SemiCondensed | Bahnschrift SemiBold | Bahnschrift SemiBold Condensed | Bahnschrift SemiBold SemiConden | Bahnschrift SemiCondensed | Bahnschrift SemiLight | Bahnschrift SemiLight Condensed | Bahnschrift SemiLight SemiConde","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bahnschrift SemiBold SemiConden--gzh：xx的百宝箱.ttf"
"Bahnschrift SemiLight Condensed--gzh：xx的百宝箱.ttf","Bahnschrift | Bahnschrift Condensed | Bahnschrift Light | Bahnschrift Light Condensed | Bahnschrift Light SemiCondensed | Bahnschrift SemiBold | Bahnschrift SemiBold Condensed | Bahnschrift SemiBold SemiConden | Bahnschrift SemiCondensed | Bahnschrift SemiLight | Bahnschrift SemiLight Condensed | Bahnschrift SemiLight SemiConde","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bahnschrift SemiLight Condensed--gzh：xx的百宝箱.ttf"
"Bahnschrift SemiLight--gzh：xx的百宝箱.ttf","Bahnschrift | Bahnschrift Condensed | Bahnschrift Light | Bahnschrift Light Condensed | Bahnschrift Light SemiCondensed | Bahnschrift SemiBold | Bahnschrift SemiBold Condensed | Bahnschrift SemiBold SemiConden | Bahnschrift SemiCondensed | Bahnschrift SemiLight | Bahnschrift SemiLight Condensed | Bahnschrift SemiLight SemiConde","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bahnschrift SemiLight--gzh：xx的百宝箱.ttf"
"Bebas Neue--淘宝店：烦烦优创馆.ttf","Bebas Neue","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Bebas Neue--淘宝店：烦烦优创馆.ttf"
"Cambria--淘宝店：烦烦优创馆.ttc","Cambria | Cambria Math","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Cambria--淘宝店：烦烦优创馆.ttc"
"HarmonyOS Sans SC Light--淘宝店：烦烦优创馆.ttf","HarmonyOS Sans SC Light","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HarmonyOS Sans SC Light--淘宝店：烦烦优创馆.ttf"
"HarmonyOS Sans SC--淘宝店：烦烦优创馆.ttf","HarmonyOS Sans SC","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HarmonyOS Sans SC--淘宝店：烦烦优创馆.ttf"
"Roboto--gzh：xx的百宝箱.ttf","Roboto","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Roboto--gzh：xx的百宝箱.ttf"
"Source Han Sans CN Bold--淘宝店：烦烦优创馆.otf","Source Han Sans CN Bold","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Source Han Sans CN Bold--淘宝店：烦烦优创馆.otf"
"Source Han Sans CN Regular--淘宝店：烦烦优创馆.otf","Source Han Sans CN Regular","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Source Han Sans CN Regular--淘宝店：烦烦优创馆.otf"
"思源黑体 CN Heavy--淘宝店：烦烦优创馆.otf","Source Han Sans CN Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Heavy--淘宝店：烦烦优创馆.otf"
"思源黑体 CN Light--淘宝店：烦烦优创馆.otf","Source Han Sans CN Light","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Light--淘宝店：烦烦优创馆.otf"
"梦源黑体 CN W14--淘宝店：烦烦优创馆.ttf","Dream Han Sans CN W14","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W14--淘宝店：烦烦优创馆.ttf"
"梦源黑体 CN W15--淘宝店：烦烦优创馆.ttf","Dream Han Sans CN W15","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W15--淘宝店：烦烦优创馆.ttf"
"梦源黑体 CN W18--淘宝店：烦烦优创馆.ttf","Dream Han Sans CN W18","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W18--淘宝店：烦烦优创馆.ttf"
"梦源黑体 CN W20--淘宝店：烦烦优创馆.ttf","Dream Han Sans CN W20","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W20--淘宝店：烦烦优创馆.ttf"
"梦源黑体 CN W27--淘宝店：烦烦优创馆.ttf","Dream Han Sans CN W27","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\梦源黑体 CN W27--淘宝店：烦烦优创馆.ttf"
"等线 Light--gzh：xx的百宝箱.ttf","DengXian Light","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\等线 Light--gzh：xx的百宝箱.ttf"
"腾祥伯当行楷简--淘宝店：烦烦优创馆.ttf","Tensentype BoDangXingKaiJ","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\腾祥伯当行楷简--淘宝店：烦烦优创馆.ttf"
"Helvetica--淘宝店：烦烦优创馆.ttf","Arial","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Helvetica--淘宝店：烦烦优创馆.ttf"
"MiSans--淘宝店：烦烦优创馆.ttf","MiSans","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\MiSans--淘宝店：烦烦优创馆.ttf"
"Montserrat--淘宝店：烦烦优创馆.ttf","Montserrat","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Montserrat--淘宝店：烦烦优创馆.ttf"
"Raleway--淘宝店：烦烦优创馆.ttf","Raleway","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Raleway--淘宝店：烦烦优创馆.ttf"
"YouSheBiaoTiHei--淘宝店：烦烦优创馆.ttf","YouSheBiaoTiHei","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\YouSheBiaoTiHei--淘宝店：烦烦优创馆.ttf"
"思源黑体 CN Heavy--gzh：xx的百宝箱.otf","Source Han Sans CN Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Heavy--gzh：xx的百宝箱.otf"
"Slidefontliuyun-Regular(5)--.ttf","Slidefontliuyun","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Slidefontliuyun-Regular(5)--.ttf"
"微软雅黑--.ttc","Microsoft YaHei UI | Microsoft YaHei","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\微软雅黑--.ttc"
"Slidexiaxing--淘宝店：烦烦优创馆.ttf","Slidexiaxing","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Slidexiaxing--淘宝店：烦烦优创馆.ttf"
"锐字潮牌真言简2.0免费 准粗--淘宝店：烦烦优创馆.ttf","REEJI-ZhenyanGB2.0 Medium","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\锐字潮牌真言简2.0免费 准粗--淘宝店：烦烦优创馆.ttf"
"Aa烈焰隶书--gzh：xx的百宝箱.ttf","AaLYLS","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Aa烈焰隶书--gzh：xx的百宝箱.ttf"
"演示悠然小楷--淘宝店：烦烦优创馆.ttf","slideyouran","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示悠然小楷--淘宝店：烦烦优创馆.ttf"
"思源黑体 CN Regular--gzh：xx的百宝箱.otf","Source Han Sans CN Regular","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Regular--gzh：xx的百宝箱.otf"
"AlibabaPuHuiTi-3-55-Regular.otf","Alibaba PuHuiTi 3.0 55 Regular","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AlibabaPuHuiTi-3-55-Regular.otf"
"AlibabaPuHuiTi-3-85-Bold.otf","Alibaba PuHuiTi 3.0 55 Regular","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AlibabaPuHuiTi-3-85-Bold.otf"
"AliHYAiHei-Beta.ttf","AliHYAiHei-Beta","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\AliHYAiHei-Beta.ttf"
"Didot-Italic-2.ttf","Didot","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Didot-Italic-2.ttf"
"DINPro-Black.otf","DINPro-Black","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\DINPro-Black.otf"
"HarmonyOS_Sans_SC_Black.ttf","HarmonyOS Sans SC Black","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HarmonyOS_Sans_SC_Black.ttf"
"HarmonyOS_Sans_SC_Regular.ttf","HarmonyOS Sans SC","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HarmonyOS_Sans_SC_Regular.ttf"
"hongleibanshujianti.ttf","honglei sim","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\hongleibanshujianti.ttf"
"HYShangWeiShouShuW.ttf","HYShangWeiShouShuW","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\HYShangWeiShouShuW.ttf"
"MiSans-Bold.ttf","MiSans","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\MiSans-Bold.ttf"
"OPPOSans L.ttf","OPPOSans L","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\OPPOSans L.ttf"
"Prism.OTF","Prism","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\Prism.OTF"
"RuiZiZhenYanTiMianFeiShangYong-2.ttf","ZhenyanGB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\RuiZiZhenYanTiMianFeiShangYong-2.ttf"
"SourceHanSerifCN-Heavy.otf","Source Han Serif CN Heavy","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSerifCN-Heavy.otf"
"SourceHanSerifCN-SemiBold-7.otf","Source Han Serif CN SemiBold","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\SourceHanSerifCN-SemiBold-7.otf"
"VCG5410409.ttf","TsangerAMXS","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\VCG5410409.ttf"
"京东朗正体.ttf","JDLangZhengTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\京东朗正体.ttf"
"仿宋_GB2312.ttf","FangSong_GB2312","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\仿宋_GB2312.ttf"
"华康楷体W5.TTF","DFPKaiW5-GB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\华康楷体W5.TTF"
"品如手写体.ttf","品如手写体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\品如手写体.ttf"
"字魂55号-龙吟手书.ttf","zihun55hao-longyinshoushu","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\字魂55号-龙吟手书.ttf"
"宋体.ttc","SimSun | NSimSun","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\宋体.ttc"
"快看世界体.otf","快看世界体","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\快看世界体.otf"
"思源宋体 CN Light.otf","Source Han Serif CN Light","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源宋体 CN Light.otf"
"思源宋体 CN.otf","Source Han Serif CN","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源宋体 CN.otf"
"思源黑体 CN Normal.otf","Source Han Sans CN Normal","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\思源黑体 CN Normal.otf"
"文悦古典明朝体 简入繁出.otf","WenYue GuDianMingChaoTi JRFC","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\文悦古典明朝体 简入繁出.otf"
"方正侠客体.TTF","FZXiaKeTiS","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正侠客体.TTF"
"方正小标宋体简体.TTF","FZXiaoBiaoSong-B05S","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正小标宋体简体.TTF"
"方正粗金陵简体.TTF","FZJinLS-B-GB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正粗金陵简体.TTF"
"方正风雅宋简体.TTF","FZFengYaSongS-GB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\方正风雅宋简体.TTF"
"楷体_GB2312.ttf","KaiTi_GB2312","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\楷体_GB2312.ttf"
"汉仪程行简.ttf","HYChengXingJ","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\汉仪程行简.ttf"
"江城斜宋体 700W.ttf","JiangChengXieSong 700W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\江城斜宋体 700W.ttf"
"江城斜宋体 900W(1).ttf","JiangChengXieSong 900W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\江城斜宋体 900W(1).ttf"
"江城斜宋体 900W.ttf","江城斜宋体 900W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\江城斜宋体 900W.ttf"
"江城斜黑体 700W.ttf","JiangChengXieHei 700W","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\江城斜黑体 700W.ttf"
"演示流云楷(2).ttf","Slidefontliuyun","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\演示流云楷(2).ttf"
"潮字社曾玉波手书简.ttf","REEJI-CHAO-ZengGB","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\潮字社曾玉波手书简.ttf"
"禹卫书法行书简体.ttf","yuweij","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\禹卫书法行书简体.ttf"
"胡晓波青年宋 粗.ttf","HuXiaoBo-qingniansong Bold","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\胡晓波青年宋 粗.ttf"
"艾迪鹅演示引擎标题体 Normal.ttf","SlideBoom Normal","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\艾迪鹅演示引擎标题体 Normal.ttf"
"邯郸康熙字典体【内府简】.ttf","handankangxizidiantineifujian","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\邯郸康熙字典体【内府简】.ttf"
"钟齐志莽行书.ttf","zhimang-xing","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\钟齐志莽行书.ttf"
"锐字奥运精神拼搏简免费-闪.TTF","REEJI-PinboGB-Flash","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\锐字奥运精神拼搏简免费-闪.TTF"
"阿里妈妈刀隶体.ttf","Alimama DaoLiTi","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里妈妈刀隶体.ttf"
"阿里巴巴普惠体-R(1).ttf","Alibaba PuHuiTi R","C:\Users\draha\AppData\Local\Microsoft\Windows\Fonts\阿里巴巴普惠体-R(1).ttf"
