deck_id,family,gold,size_mb,filename,fullpath
redgold_kangshuai,redgold_heritage,1,40.21,16页-国奖水准红金风格PPT-康帅制作--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\传统文化-红旅-科技文化-农业\【红旅】国奖水准红金风格PPT\16页-国奖水准红金风格PPT-康帅制作--淘宝店：烦烦优创馆.pptx
redgold_yueqi,redgold_heritage,0,166.77,04 2022.6月 中国风 非遗乐器(1)--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\04 2022.6月 中国风 非遗乐器(1)--gzh：xx的百宝箱.pptx
redgold_zhuhong,redgold_heritage,0,107.96,朱红色-非遗赛道--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\土金朱红蓝色-非遗\朱红\朱红色-非遗赛道--淘宝店：烦烦优创馆.pptx
redgold_lanran,redgold_heritage,0,112.74,蓝染色-非遗赛道--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\土金朱红蓝色-非遗\蓝染\蓝染色-非遗赛道--gzh：xx的百宝箱.pptx
med_jiyin,med_blue_white,1,171.67,深蓝基因安全.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\深蓝生物-云端智链基因安全--gzh：xx的百宝箱\挑战杯金奖定制PPT模板 源文件\深蓝基因安全.pptx
med_lanqing,med_blue_white,0,74.57,014-蓝青高端医疗定制模版--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\014-蓝青高端医疗定制模版--淘宝店：烦烦优创馆.pptx
med_vryanglao,med_blue_white,0,95.01,VR养老+200--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\VR养老+200--gzh：xx的百宝箱.pptx
dark_heijin0012,dark_tech,0,88.96,【黑金版】编号0012科技风互联网加挑战杯通用PPT模板.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT【26年整理】\黑金深蓝-创赛通用模板AI\【黑金版】编号0012科技风互联网加挑战杯通用PPT模板.pptx
dark_xinpian,dark_tech,0,30.4,黑色-芯片工科模板--淘宝店：烦烦优创馆.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\黑色-源芯科技\黑色-芯片工科模板--淘宝店：烦烦优创馆.pptx
gen_xingkong,general_unknown,0,133.57,星空未来.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛PPT\高教赛道-星空未来--gzh：xx的百宝箱\星空未来.pptx
gen_changxing,general_unknown,0,150.06,畅行有方--gzh：xx的百宝箱.pptx,W:\ppt\挑战杯 互联网+三创赛 创青春 国赛金奖级PPT 模板\创赛精选PPT\畅行有方--gzh：xx的百宝箱.pptx
